Mineral Name,Country of Type Locality
Uranopilite,Czech Republic / Germany
Oxy-schorl,Czech Republic / Slovakia
Krásnoite,Czech Republic / USA
Chvaleticeite,Czech Republic
Cronstedtite,Czech Republic
Cyrilovite,Czech Republic
Darrellhenryite,Czech Republic
Enstatite,Czech Republic
Ewingite,Czech Republic
Ferrierite-NH4,Czech Republic
Fischesserite,Czech Republic
Geschieberite,Czech Republic
Grimmite,Czech Republic
Haidingerite,Czech Republic
Hainite-(Y),Czech Republic
Hakite-(Hg),Czech Republic
Hercynite,Czech Republic
Heyrovsk?ite,Czech Republic
Hlou?ekite,Czech Republic
Honzaite,Czech Republic
Horákite,Czech Republic
Hrabákite,Czech Republic
Humboldtine,Czech Republic
Hydrobiotite,Czech Republic
H?slite,Czech Republic
Adolfpateraite,Czech Republic
Isoclasite,Czech Republic
Argentopearceite,Czech Republic
Argentopyrite,Czech Republic
Je?ekite,Czech Republic
Johannite,Czech Republic
Jáchymovite,Czech Republic
Kaňkite,Czech Republic
Kenngottite,Czech Republic
Kettnerite,Czech Republic
Kladnoite,Czech Republic
Koktaite,Czech Republic
Koutekite,Czech Republic
Kratochvílite,Czech Republic
Kroupaite,Czech Republic
Krupi?kaite,Czech Republic
Krupkaite,Czech Republic
Krut'aite,Czech Republic
Krutovite,Czech Republic
Kutinaite,Czech Republic
Kutnohorite,Czech Republic
Lavendulan,Czech Republic
Lepidocrocite,Czech Republic
Letovicite,Czech Republic
Lindackerite,Czech Republic
Litochlebite,Czech Republic
Línekite,Czech Republic
Mathesiusite,Czech Republic
Metarauchite,Czech Republic
Metauranopilite,Czech Republic
Millerite,Czech Republic
Milotaite,Czech Republic
